"Ballesvej 5, Sillerslev, 7990 Øster Assels",1.995.000,Fritidsbolig | 4 vær. | 97 m
"Drejet 36D, Spodsbj Drej, 5900 Rudkøbing",1.845.000,Fritidsbolig | 4 vær. | 83 m
"Engdraget 5, Hou, 9370 Hals",1.040.000,Fritidsbolig | 3 vær. | 93/76 m
"Hjelmvej 13, Elsegårde Strand",1.298.000,Fritidsbolig | 3 vær. | 40 m
"Baroniet 22, 3100 Hornbæk",4.195.000,Fritidsbolig | 4 vær. | 99 m
"Slunden 56, Rindby Strand, 6720 Fanø",2.495.000,Fritidsbolig | 5 vær. | 92 m
"Birkevangsvej 18, 3100 Hornbæk",6.995.000,Fritidsbolig | 3 vær. | 88 m
"Kybehuse 81, Vile, 7870 Roslev",735.000,Fritidsbolig | 4 vær. | 58 m
"Storhøjs Alle 7, Strand Esbønderup, 3250 Gilleleje",2.795.000,Fritidsbolig | 3 vær. | 98 m
"Sigfred Jensens Vej 37, Bjerregaard, 6960 Hvide Sande",1.525.000,Fritidsbolig | 4 vær. | 79 m
"Arningevej 8, 4983 Dannemare",475.000,Fritidsbolig | 5 vær. | 185 m
"Strandvejen 61C, st. 113., Fanø Bad",1.245.000,Fritidsbolig | 2 vær. | 44 m
"Sandvej 4C, Fjellerup Strand, 8585 Glesborg",2.498.000,Fritidsbolig | 4 vær. | 106 m
"Arnakkevej 20, 4593 Eskebjerg",1.295.000,Villa | 6 vær. | 163 m
"Bredmaj 90, Rendbjerg, 6320 Egernsund",995.000,Fritidsbolig | 4 vær. | 60 m
"Bøffelvej 2, Bunken, 9982 Ålbæk",995.000,Fritidsbolig | 4 vær. | 70 m
"Hyldebærvej 47, Knasborg, 9982 Ålbæk",3.295.000,Fritidsbolig | 6 vær. | 211 m
